Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
151;Josh Okogie;SG;25;PHO;4;0;07.;01.;02.;0.556;0.3;0.8;0.333;1;01.;0.667;0.611;0.8;01.;0.5;0;1;1;0.5;0.5;0;0.5;01.;03.
152;Isaac Okoro;SF;23;CLE;12;7;21.;02.;05.;0.357;0.8;02.;0.257;01.;02.;0.457;0.421;0.6;0.8;0.778;0.4;01.;01.;01.;0.9;0.3;0.9;02.;05.
153;Kelly Oubre Jr.;SF;28;PHI;6;6;37.3;05.;10.;0.484;01.;03.;0.391;03.;06.;0.537;0.555;01.;01.;0.727;01.;02.;4;01.;01.;01.;01.;4;13.
154;Cameron Payne;PG;29;PHI;5;0;12.;2;5;0.4;01.;03.;0.444;0.4;01.;0.286;0.56;0;0;0;0;01.;01.;01.;0.2;0.8;0.6;2;05.
155;Jalen Pickett;SG;24;DEN;3;0;03.;0.7;1;0.667;0;0.3;0;0.7;0.7;1;0.667;0;0;0;0;0.3;0.3;0.3;0;0.3;0;0.3;01.
156;Mason Plumlee;C;33;LAC;6;0;11;01.;3;0.389;0;0;0;01.;3;0.389;0.389;0.8;01.;0.625;01.;02.;03.;0.7;0.5;0.3;0.3;02.;03.
157;Michael Porter Jr.;SF;25;DEN;12;12;36.9;05.;12.;0.466;02.;06.;0.407;02.;05.;0.538;0.579;01.;02.;0.769;0.7;06.;06.;01.;0.9;0.8;01.;02.;15.
158;Bobby Portis;PF;28;MIL;6;6;31.2;07.;15.;0.484;0.5;2;0.25;06.;13.;0.519;0.5;01.;02.;0.615;02.;08.;11.;1;0.5;0.2;01.;02.;16.
159;Kristaps Porzi??is;C;28;BOS;7;4;23.;4;08.;0.467;01.;04.;0.345;02.;04.;0.581;0.55;02.;03.;0.909;0.6;03.;04.;01.;0.7;01.;0.7;02.;12.
160;Dwight Powell;C;32;DAL;13;0;03.;0.1;0.2;0.333;0;0;0;0.1;0.2;0.333;0.333;0.3;0.5;0.667;0.2;0.7;0.9;0.2;0.1;0;0.2;0.7;0.5
161;Norman Powell;SG;30;LAC;6;0;29.;04.;10.;0.426;02.;04.;0.448;02.;05.;0.406;0.533;2;02.;0.8;0.5;02.;02.;0.3;0.5;0;01.;03.;12.
162;Taurean Prince;PF;29;LAL;5;0;22.;02.;05.;0.414;1;03.;0.294;01.;02.;0.583;0.5;01.;01.;1;0.2;02.;02.;0.6;0.2;0.4;0.2;01.;07.
163;Payton Pritchard;PG;26;BOS;19;0;18.;02.;05.;0.419;01.;03.;0.383;01.;02.;0.467;0.529;0.6;0.6;0.917;0.7;01.;01.;02.;0.2;0;0.7;01.;06.
164;Olivier-Maxence Prosper;PF;21;DAL;3;0;3;0;0.7;0;0;0;0;0;0.7;0;0;0;0;0;0;1;1;0.3;0;0;0;0;0
165;Neemias Queta;C;24;BOS;3;0;04.;0.7;1;0.667;0;0;0;0.7;1;0.667;0.667;0;0;0;0.3;0.7;1;0;0;0.3;0;0;01.
166;Austin Reaves;SG;25;LAL;5;5;34.8;6;12.;0.476;01.;05.;0.269;04.;07.;0.622;0.532;03.;03.;0.895;1;02.;03.;03.;01.;0.6;0.8;01.;16.
167;Paul Reed;C;24;PHI;6;0;07.;0.7;01.;0.444;0;0;0;0.7;01.;0.444;0.444;0.2;0.3;0.5;01.;01.;02.;0.3;0.2;0.5;0.5;01.;01.
168;Naz Reid;C;24;MIN;16;0;22.;04.;08.;0.458;01.;04.;0.362;02.;04.;0.548;0.546;01.;01.;0.71;0.6;03.;03.;1;0.5;0.8;0.9;2;11.
169;Duncan Robinson;SF;29;MIA;5;0;12;1;03.;0.313;0.6;02.;0.231;0.4;0.6;0.667;0.406;0;0;0;0;1;1;01.;0.4;0;1;01.;02.
170;Mitchell Robinson;C;25;NYK;6;0;19.;01.;02.;0.5;0;0;0;01.;02.;0.5;0.5;0.5;01.;0.375;03.;3;06.;0.5;1;01.;0.5;02.;02.
171;Orlando Robinson;C;23;MIA;1;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
172;Jeremiah Robinson-Earl;PF;23;NOP;1;0;5;1;2;0.5;0;0;0;1;2;0.5;0.5;0;2;0;1;0;1;1;0;0;0;0;2
173;David Roddy;PF;22;PHO;2;0;01.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
174;D'Angelo Russell;PG;27;LAL;5;5;37;05.;14.;0.384;02.;08.;0.318;02.;05.;0.483;0.479;0.2;0.4;0.5;0.2;02.;02.;04.;0.8;0.2;01.;01.;14.
175;Matt Ryan;SF;26;NOP;1;0;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0
176;Ben Sheppard;SG;22;IND;17;2;19.;01.;04.;0.437;01.;02.;0.38;0.7;01.;0.571;0.57;0.4;0.5;0.778;0.6;02.;3;1;0.5;0.1;0.6;01.;05.
177;Pascal Siakam;PF;29;IND;17;17;35.5;09.;17.;0.541;0.8;02.;0.298;08.;14.;0.588;0.566;02.;03.;0.619;02.;05.;07.;03.;0.8;0.4;01.;02.;21.
178;Jericho Sims;C;25;NYK;5;0;05.;0.4;0.4;1;0;0;0;0.4;0.4;1;1;0.6;0.8;0.75;0.6;1;01.;0.2;0.4;0.2;0;0.2;01.
179;Jalen Smith;C;23;IND;7;0;6;0.4;01.;0.375;0.3;0.6;0.5;0.1;0.6;0.25;0.5;0.7;01.;0.625;1;1;2;0.3;0.3;0.1;0.6;01.;01.
180;Jaden Springer;PG;21;BOS;4;0;05.;0.5;0.8;0.667;0;0;0;0.5;0.8;0.667;0.667;0;0;0;0;0.8;0.8;0.3;0;0.3;0.5;0.3;1
181;Julian Strawther;SF;21;DEN;3;0;05.;0.7;2;0.333;0.3;01.;0.25;0.3;0.7;0.5;0.417;0.7;01.;0.5;0;0.7;0.7;0;0.3;0;0.3;1;02.
182;Max Strus;SF;27;CLE;12;12;36.2;03.;08.;0.408;02.;6;0.347;01.;02.;0.548;0.529;0.4;0.4;1;0.7;04.;05.;02.;0.8;0;01.;03.;09.
183;Jalen Suggs;SG;22;ORL;7;7;33.1;04.;11.;0.402;2;06.;0.292;02.;04.;0.559;0.488;03.;04.;0.767;01.;03.;05.;03.;01.;0.4;02.;02.;14.
184;Jayson Tatum;PF;25;BOS;19;19;40.4;08.;19.;0.427;02.;07.;0.283;06.;12.;0.513;0.48;06.;07.;0.861;0.9;08.;09.;06.;01.;0.7;02.;02.;25
185;Daniel Theis;C;31;LAC;1;0;4;1;1;1;1;1;1;0;0;0;01.;0;0;0;0;1;1;0;0;0;0;0;3
186;Isaiah Thomas;PG;34;PHO;1;0;4;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
187;Tristan Thompson;C;32;CLE;10;0;08.;0.7;01.;0.438;0;0;0;0.7;01.;0.438;0.438;0.1;0.2;0.5;1;1;2;1;0.1;0.5;0.2;0.9;01.
188;Xavier Tillman Sr.;PF;25;BOS;8;0;08.;0.6;1;0.625;0.1;0.1;1;0.5;0.9;0.571;0.688;0.1;0.1;1;0.5;01.;01.;0.4;0.4;0.4;0.4;0.9;01.
189;Obi Toppin;PF;25;IND;17;0;20.;04.;07.;0.541;01.;03.;0.357;03.;04.;0.671;0.615;01.;01.;0.76;0.6;03.;04.;01.;0.4;0.4;0.8;01.;10.
190;Karl-Anthony Towns;PF;28;MIN;16;16;32.6;06.;14.;0.466;01.;05.;0.361;04.;09.;0.523;0.53;03.;04.;0.855;02.;06.;9;02.;0.8;0.2;01.;03.;19.
191;P.J. Tucker;PF;38;LAC;2;1;15.;2;3;0.667;01.;2;0.75;0.5;1;0.5;0.917;0;0;0;01.;0;01.;0;0;0;01.;3;05.
192;Myles Turner;C;27;IND;17;17;32.4;06.;12.;0.517;02.;05.;0.453;03.;7;0.563;0.612;02.;02.;0.76;01.;05.;06.;02.;0.5;01.;01.;02.;17
193;Hunter Tyson;PF;23;DEN;3;0;04.;0;01.;0;0;1;0;0;0.3;0;0;0.3;0.7;0.5;0.3;0.7;1;0.3;0;0;0.3;0;0.3
194;Jonas Valan?i?nas;C;31;NOP;4;4;22.;05.;10.;0.524;0;0.3;0;05.;10.;0.537;0.524;03.;04.;0.824;04.;06.;11;01.;0.5;0;02.;02.;14.
195;Gabe Vincent;PG;27;LAL;5;0;13.;0.6;02.;0.25;0.2;01.;0.143;0.4;1;0.4;0.292;0;0;0;0.2;01.;01.;0.6;0.4;0;0.6;01.;01.
196;Dean Wade;PF;27;CLE;3;1;21;01.;04.;0.308;1;03.;0.3;0.3;1;0.333;0.423;0;0;0;0.3;01.;2;01.;0.3;0.7;0.7;01.;03.
197;Franz Wagner;SF;22;ORL;7;7;37;6;14.;0.408;01.;04.;0.265;04.;09.;0.478;0.451;05.;06.;0.886;01.;05.;06.;04.;0.7;01.;01.;02.;18.
198;Moritz Wagner;C;26;ORL;7;0;15;02.;05.;0.444;0.3;01.;0.222;2;03.;0.519;0.472;01.;02.;0.588;01.;02.;04.;0.3;0.9;0.4;01.;3;06.
